Time	Message
--[Edge-#13662225542973170432]: start statistics
Cybertwin[13662225542973170432]: at 0 ms, throughput = inf Mbps
Cybertwin[13662225542973170432]: at 140 ms, throughput = 103.824 Mbps
Cybertwin[13662225542973170432]: at 140 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 150 ms, throughput = 100.116 Mbps
Cybertwin[13662225542973170432]: at 150 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 160 ms, throughput = 109.18 Mbps
Cybertwin[13662225542973170432]: at 160 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 170 ms, throughput = 98.468 Mbps
Cybertwin[13662225542973170432]: at 170 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 180 ms, throughput = 105.06 Mbps
Cybertwin[13662225542973170432]: at 180 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 190 ms, throughput = 100.528 Mbps
Cybertwin[13662225542973170432]: at 190 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 200 ms, throughput = 112.064 Mbps
Cybertwin[13662225542973170432]: at 200 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 210 ms, throughput = 113.3 Mbps
Cybertwin[13662225542973170432]: at 210 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 220 ms, throughput = 102.176 Mbps
Cybertwin[13662225542973170432]: at 220 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 230 ms, throughput = 112.888 Mbps
Cybertwin[13662225542973170432]: at 230 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 240 ms, throughput = 93.936 Mbps
Cybertwin[13662225542973170432]: at 240 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 250 ms, throughput = 110.828 Mbps
Cybertwin[13662225542973170432]: at 250 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 260 ms, throughput = 101.352 Mbps
Cybertwin[13662225542973170432]: at 260 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 270 ms, throughput = 102.588 Mbps
Cybertwin[13662225542973170432]: at 270 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 280 ms, throughput = 104.236 Mbps
Cybertwin[13662225542973170432]: at 280 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 290 ms, throughput = 102.176 Mbps
Cybertwin[13662225542973170432]: at 290 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 300 ms, throughput = 108.356 Mbps
Cybertwin[13662225542973170432]: at 300 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 310 ms, throughput = 102.176 Mbps
Cybertwin[13662225542973170432]: at 310 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 320 ms, throughput = 104.648 Mbps
Cybertwin[13662225542973170432]: at 320 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 330 ms, throughput = 103.412 Mbps
Cybertwin[13662225542973170432]: at 330 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 340 ms, throughput = 108.356 Mbps
Cybertwin[13662225542973170432]: at 340 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 350 ms, throughput = 105.884 Mbps
Cybertwin[13662225542973170432]: at 350 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 360 ms, throughput = 102.588 Mbps
Cybertwin[13662225542973170432]: at 360 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 370 ms, throughput = 95.584 Mbps
Cybertwin[13662225542973170432]: at 370 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 380 ms, throughput = 102.176 Mbps
Cybertwin[13662225542973170432]: at 380 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 390 ms, throughput = 107.532 Mbps
Cybertwin[13662225542973170432]: at 390 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 400 ms, throughput = 108.356 Mbps
Cybertwin[13662225542973170432]: at 400 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 410 ms, throughput = 104.648 Mbps
Cybertwin[13662225542973170432]: at 410 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 420 ms, throughput = 110.416 Mbps
Cybertwin[13662225542973170432]: at 420 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 430 ms, throughput = 93.936 Mbps
Cybertwin[13662225542973170432]: at 430 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 440 ms, throughput = 112.064 Mbps
Cybertwin[13662225542973170432]: at 440 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 450 ms, throughput = 97.232 Mbps
Cybertwin[13662225542973170432]: at 450 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 460 ms, throughput = 105.06 Mbps
Cybertwin[13662225542973170432]: at 460 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 470 ms, throughput = 110.828 Mbps
Cybertwin[13662225542973170432]: at 470 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 480 ms, throughput = 95.584 Mbps
Cybertwin[13662225542973170432]: at 480 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 490 ms, throughput = 104.648 Mbps
Cybertwin[13662225542973170432]: at 490 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: stop test
Cybertwin[13662225542973170432]: at 500 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 510 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 520 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 530 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 540 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 550 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 560 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 570 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 580 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 590 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 600 ms, traffic shaping thoughput is 82.4 Mbps
Cybertwin[13662225542973170432]: at 610 ms, traffic shaping thoughput is 82.4 Mbps
